Name,Lat,Long,Rainfall
赤柱聖士提反書院,22.2155701,114.2156599,186
半山馬己仙峽道,22.271727,114.1640862,382
黃竹坑葛量洪醫院,22.342988,114.1789324,284
九龍塘,22.342988,114.1789324,287
觀塘,22.3186111,114.2247222,387
新蒲崗,22.3325746,114.1957154,388
水邊圍,22.4461495,114.020972,124
油麻莆,22.3826141,114.2702976,395
流浮山,22.4688889,113.9836111,125
濕地公園,22.4666667,114.0088889,143
石崗,22.4361111,114.0847222,163
大美督,22.4752778,114.2375,301
大埔王肇枝中學,22.4455556,114.1716667,249
北潭涌(鯽魚湖),22.4027778,114.3230556,353
將軍澳,22.3158333,114.2555556,413
橫瀾島,22.1822222,114.3033333,68
長洲,22.2011111,114.0266667,313
坪洲,22.2911111,114.0433333,199
昂坪食水配水庫,22.2555556,113.9113889,148
香港國際機場,22.3094444,113.9219444,151
打鼓嶺,22.5286111,114.1566667,158
上水,22.5019444,114.1111111,173
大隴,22.48348,114.1174,168
荃灣,22.3836111,114.1077778,250
屯門兒童及青少年院,22.3858333,113.9641667,147
沙田,22.4025,114.21,270
青衣(青柏樓),22.3480556,114.1091667,241
深水埗,22.3358333,114.1369444,271
香港天文台,22.3019444,114.1741667,335
京士柏,22.3119444,114.1727778,345
啟德,22.3097222,114.2133333,323
筲箕灣,22.2816667,114.2361111,331
跑馬地,22.2705556,114.1836111,332
山頂,22.2641667,114.155,320
